ÀÄ000	-	A199,8	1080A
ÀÄ00	1010	A199,7	1070A
ÀÄ00Å	1010Å	EA199,7	1370
-	-	A199,6	1060
ÀÄ0	1011	A199,5	1050A
ÀÄ0Å	1011Å	EA199,5	1350
ÀÄ1	1013	A199,3	-
ÀÄ	1015	A199,0	1200
ÀÄ1ןכ	-	-	-
Ä1	1110	AlCu4MgSi	2017
Ä16	1160	AlCuMg1	2024
Ä16ק	1160	-	2124
Â65	1165	-	-
Ä18	1180	AlCu2,5Mg	2117
Ä19	1190	-	-
Ä19ק	-	-	-
ÀÊ4	1140	-	-
ÀÊ4-1	1141	-	-
ÀÊ4-1ק	-	-	2618
1201	-	AlCu6Mn	2219
ÀÊ6	1360	-	-
ÀÊ8	1380	AlCu4SiMg	2014
-	1105	-	-
ÌÌ	1403	AlMnMg0,5	3005
Àלצ	1400	AlMn1Cu	3003
ÀÌצÑ	1401	-	-
Ä12	1521	AlMn1Mg1	3004
ÀÌד0,5	1505	-	-
ÀÌד1	1510	AlMg1	5005
ÀÌד1,5	-	AlMg1,5	5050
ÀÌד2	1520	AlMg2	5251
ÀÌד2,5	-	AlMg2,5	5052
ÀÌד3	1530	-	-
-	-	AlMg3	5754
ÀÌד3,5	-	AlMg3,5	5154
ÀÌד4	1540	AlMg4	5086
ÀÌד4,5	1540	AlMg4,5	5083
ÀÌד5	1550	-	-
ÀÌד6	1560	-	-
ÀÄ31	1310	AlMg0,7Si	6063
ÀÄ31Å	1310Å	E-AlMgSi	6101
ÀÄ33	1330	AlMgSiCu	6061
ÀÄ35	1350	AlSiMgMn	6082
ÀÂ	1340	-	-
-	-	-	6151
-	1915	AlZn4,4Mg1,5Mn	7005
-	1925	AlZnMg1,5Mn	-
Â95מק	-	-	-
Â95ןק	-	-	-
Â95	1950	-	-
-	-	AlZn5,5MgCu	7075
-	-	-	7175
Â93ןק	-	-	-
Â95-1	-	-	-
Â95-2	-	-	-
Àצןכ	-	-	-
